FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Affectueux,oi4xim1,爱心
Aider,bong1shu3,帮手
,ten4shu3,𢯭手
Apprendre,hok6,学
 Réviser,wun1xip6, 温习
Attentif,xiao3xim1,小心
Avare,ngat5xi1,啮    死?
,kiang1,俭
Colérique,tai4fo3hi4,大火气
Déconcentré,xim1ng3tin4,心唔定
Découragé,mao3xim1qin2,冇心情
Désobéissant,ng2tang1wa4,不听话
Désordonné,lon4,乱
Écouter,tang1,听
Encourager,ga1yu2,加油
Généreux,tai4fong1,大方
Gentil,hao3xim1,好心
Honnête,lao3shit6,老实
Impatient,ng2lai4xim1,唔耐心
Irrespectueux,mao2li1mao4,冇礼貌
Méchant,ok5,恶
Menteur,pen4ngin1,骗人
Ordonné,？,?
Patient,lai4xim1,耐心
Persévérer,?,?
Poli,yu1li1mao4,有礼貌
Prendre soin (de ses affaires),giam3tiam3,捡 点
Réfléchir,xiong3,想
Respecter,zun1gin4,尊敬
Sage,shun1,驯
Se concentrer,zon sim?,专心
Têtu,ngiun4pi2,肕皮
,ngang4giang4,硬颈 
Travailler / travailler dur,kin2,懃
Tricheur,pen4ngin1,骗人
Turbulent,chao4,吵
Heureux,fon1hi3,欢喜
,gao1hin3,高兴
Intelligent,cung1ming2,聪明
Joyeux,hoi1xim1?,开心
Loyal,chung sim?,
Malheureux,qi1liong2,凄凉
,yen1wong3,冤枉
Nerveux,?,
Optimiste,?,?
Sérieux,ngin4jin1,认真
Triste,lan2go4,难过
Travailleur,kin2,懃
Riche,yu3qian2,有钱
Pauvre,kiung2,穷
Rapide,kai4,快
,giak5,彶
Lent,man4,慢
Fort,kiang2,强
À côté,gak5li2,隔离
Âgé,ngian2gi3tai4,年 ? 大
Amorphe,mao2jin1shin2,冇精神
Beau,liang4,靓
,hao3kon4,好看
Bête,bun4,笨
,so2,傻
Brillant,hao3bun1si1,好本事
Curieux,gen1dao3,?
Éloigné,yen3,远
Faible,ngiok6,弱
Fort,kiong2,强
Gai,hoi1xim1,开心
Grand,tai4,大
Gras,pui2,肥
Gros,lep5,妠
Heureux,fon1hi3,欢幸
,gao1hin1,高兴
Intelligent,cun1ming2,聪明
Jeune,qiang1ngian2,青年
,lun3,嫰
Lent,man4,慢
Maigre,xiu4,瘦
Moche,chu3gai4,丑怪
Optimiste,lok gon?,乐观
Petit,se4,细
Propre,lang3li4,伶俐
Rapide,kai4-giak5汲,快
Sale,lo4so4,啰唆
Triste,lan2go4,难过
Vif,fat6pat5,活泼
