FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Abeille,mit6zai3,蜜仔 
Araignée,la2kia3,?
Baleine,gim3ng2,鲸鱼
Cafard,wong1chat6,黄蠽
Canard,ap5,鸭
Cent pieds,ng2gung1cung2,蜈蚣虫
Chat,miao4,猫
Chèvre,yong2,羊
Chien,geu3,狗
Cochon,zu1,猪
Coq,gai1gung1,鸡公
Coquillage,lo2hok5,螺壳
Crevette,ha2gung1,虾公
Dauphin,hoi3zu1,海猪
Fourmi,li4,蚁
Guêpe,wong2fung1,黄蜂
Langouste,lung2ha2,龙虾
Lapin,tu4zai3,兔仔
Les douze signes chinois,che ngi sang hiao?,十二生肖
Mille pattes,ng2gung1cung2,蜈蚣虫
Mouche,wu1yin2,乌蝇
Moustique,mun2,蚊
Papillon,fu2tiap6,蝴蝶
Poisson,sen1ng2,鲜鱼
Poulet,gai1,鸡
Raie,hung?ng2,魟鱼
Requin,sa1ng2,鲨鱼
Souris,lao3chu3,老鼠
Animaux,kim2shu4,禽兽
Crabe,lao3hai3,老蟹
Poule,gai1ma1,鸡妈
Coq,gai1gung1,鸡公
Poussin,gai1zai3,鸡仔
Pigeon,pak5gap6,白鸽
Merle,liao3go2zai3,鹩哥仔
Anguille,ha1man2,？ 鳗
Singe,heu2zai3,猴仔
Buffle,shui3ngiu2,水牛
Serpent,sha2,蛇
Tigre,lao3fu3,老虎
Cheval,ma3,马
Thon,yulin,？
Lézard,biak5sha2,壁蛇
Termite,shui3li3,水蚁
