FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
-0.2,,
0.01,,
0.125,,
0.5,,
"acheter à crédit, ""marquer""",,
argent,,錢
arrivage,,
"avoir un magasin, tenir un commerce",,捉店
billet de banque,,
bonne affaire,,
bonne qualité,,
caisse,,
client,,客仔
commander,,
employé,,
emprunter,,
entrepôt,,
entreprise,,
essayer (un vêtement),,
étal,,
exporter,,
facture,,
faire les courses,,
importer,,
livraison,,
magasin,,店
marchandise,,
marché,,街市
mauvaise qualité,,
négocier,,講價？
payer,,欠
payer en plusieur fois,,
payer ses dettes,,
pièce,,
prix,,價錢？
producteur,,
promotion,,
rayon,,
reçu,,
"réduction, remise",,
rembourser,,
rendre la monnaie,,還錢
sac plastique,,
un business,,生理
,,
,,生意
