FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
Aisselle,lakgiokha?,
Bassin,pun2gut5,盆骨
Bouche,zoi3,嘴
Bras,shu3bi4,手臂
Cerveau,lao3,脑
Cheveux,teu2fat5,头发
,teu2mao1,头毛
Cil,ngan2mao2,睫毛
Cœur,xim1,心
Corps,shin1ti3,身体
Cou,giang1,脖子
Coude,shu3chiu?,手肘
Cuisse,tai4tui3,大腿
Dents,nga2,牙
Doigt,shu3zi1zai3,手指
Dos,boi4long2,背囊
Épaule,gen1bong3,肩膀
Estomac,wui4,胃
Fesse,shi3fut5teu2,屎窟头
Foie,gon1,肝
Genou,qit5teu2,膝头
Gorge,hiu2len2gon3,喉嗹管
Hanche,pun2gut5,盆骨
Jambe,tui3,腿
Joue,men3ba1,脸 巴
Langue,set5ma1,舌妈
Lèvres,zoi3sun2,嘴唇
Main,shu3,手
Mollet,se3tui3,小腿
Nez,pi2gung1,鼻公
Nombril,du4qi2,肚脐
Odeur,mui4tao4,味道
Ongles,zi3gap5,指甲
Oreille,ngi3  git5?,耳朵
Paupière,ngan3  sun2?  pi2,眼皮
Peau,pi2,皮
Pied,giok5,脚
Poils,mao2,毛
Poitrine,hiung1bu4,胸部
Sang,het5,血
Sein,len3gu1,乳菇
Selle,shi3,屎
Sexe féminin,ji4,膣
Sexe masculin,zoi1 ou lin3,屄
Sourcil,ngan2mao2,眼毛
Sueur,hon4,汗
Taille,yao1,腰部
Tête,teu2,头
Urine,ngiao4,尿
Ventre,du4pa4,肚子
Yeux,ngan2,眼睛
