FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Beurre,wong2yu2,黄油
,niu2yu2,牛油
,bo1da3 (phonétique),
Casserole,pu3lu2,烳罗
Congelé,set5ngang4,雪硬
Conserve,gok5teu2,罐头
Couper,qet5,切
Couperet chinois,dao1ma3,刀妈
Crevette,ha2gung1,虾公
Cuire à l’eau,sap6shui3,炸水
Cuire à la vapeur,jin1,蒸
Cuire à poêle,zen1,煎
Cuire au four,guk6,焗
Cuisiner,zuo4fan4,做饭
,zu3shit6,煮食
Cuisinière (four),lu2,炉
Décongelé,Kai tung?gung3yung3,?
Désosser,bok5ngiuk5,剥肉
Ecailler,gat5lin1,刮鳞
Épices,hiong1liao4,香料
Eplucher,bok5pi2,剥皮
,ma2pi2,扒皮
Faire bouillir,bao1bui4,煲沸
Faire revenir,chao3,炒
Farine,men4fun3,面粉
Four,guk6lu2,焗炉
Frais,xin1sen1,新鲜
Frire,za4,炸
Huile,yu2,油
Louche,shok6,勺
Mijoter,dun1,炖
Ouvre boîte,gok5teu2dao2,？头刀
Pâtes,men4,面
Poêle,zen1kan1,煎？
Poisson,ng2,鱼
Poivre,gu2nget6fun3,古月份
Râper,chat5,擦
Réchauffer,gung3sao1,工烧
Réfrigérateur,set5kui4,雪柜
,,
Salade,mak5coi3,蕒菜
Sauce huître,hao3yu2,蚝油
Sauce sesame,ma2yu2,麻油
Sauce soja,xi4yu2,豉油
Sel,yam2,盐
Soupe,tong1,汤
,shun1,臐？
Spatule,chan3,铲
Viande,ngiuk5,肉
Vider (poisson),tong1sen1ng2,膛？鲜鱼
Lait ,ngiu2len4,牛奶
Planche à découper ,zen3ban3,剪板
Torchon,zut6shu3pa1,拭帕
Essuyer,zut6,拭
Rincer,go4shui3,过水
Porc sauce huître ,mun1zu1ngiuk5,焖猪肉
Couper petits morceaux,chet6sui3,切碎
Emincer,chet6pok5,切薄
Couper en tranches,chet6pen3,切片
Tremper dans l'eau,jim4shui3,浸水
Rice cooker,bao1fan4pu3lu2,煲饭烳罗
