FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
Apprendre,hok6,学
Bureau,xia1shu1zok5,写书桌
Cahier,pu1zai3,簿仔
Calculatrice,son3gi2,算器
Camarade,tung1hok5,同学
Cartable,shu1bao1,书包
Chaise,den4,凳
Classeur,?,?
Compas,yen2gui1,规
Cour d’école,hok4gao1yen4,学校院
Crayon,yen2bit5,铅笔
École primaire,xiao2hok5,小学
École secondaire,zung1hok5,中学
Écouter,tang4,听
Écrire,xia3,写
Élève,hok5sang1,学生
Étudier,hok5,学
Examen,kao4xi3,考试
Feuille,ji3,纸
Gomme,chat5 +?,擦子
Lire,tuk6,读
Livre,shu1,书
Maître(sse) - enseignante,lao3si1,老师
,sen1sang3,先生
Ordinateur,ten4lao3,电脑
Récréation,？,？
Règle,gai3lak5,界尺
Rentrée des classes,hoi1hok5,开学
Salle de classe,?,?
Stylo à encre,shui3bit5,水笔
Tableau,het5ban2,黑板
Trousse,bit5hap5,笔盒
Université,tai4hok5,大学
Vacances,fong4ga1,放假
 Réviser,wun1xip6,温习
