FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
ANCÊTRES,Zu3 Gung1,祖公
,,
COTE PATERNEL,,
Arrière grand-mère paternelle,PO2 TAI4,婆太
Arrière grand-père paternel,A GUNG1 TAI4,公太
Grand-mère paternelle,PO2 PO2,婆娑
Grang-père,GUNG1 GUNG1,公公
Père,BA1 BA1,爸爸 
,,
,,
,,
COTE MATERNEL,,
Arrière grand-mère maternelle,JIA3 PO2 TAI4,姐婆太
Arrière-grand-père maternel,JIA3 GUNG1 TAI4,姐公太
Grand-père,JIA3 GUNG1,姐公
Mère,MA1 MA1 ,妈妈
Grand-mère,JIA4 PO2,姐婆
,,
,,
Arrière petit-fils,SET5 ZAI3,虱崽
ARRIERE PETITE-FILLE,SET5 NGI3,虱女
BEAU-FRERE (MARI DE LA SŒUR AINEE),Jia3 fu2,姐夫
BEAU-FRERE (MARI DE LA SŒUR CADETTE),Lao3 moi4 se4,老妹婿
BEAU-PÈRE (PÈRE DE L'EPOUSE),Chong4 lao3,丈老
BEAU-PÈRE (PÈRE DU MARI),Ga1 gong1,家官
"BEAUX-PARENTS,BEAUX-FRERES,…",,
BELLE SŒUR (EPOUSE DU FRERE AINE),A1 Sao3,阿嫂
BELLE-MERE (MERE DE L'EPOUSE),Chongg4 po2,丈婆
BELLE-MERE (MERE DU MARI),Ga1 niang2,家娘
BELLE-SŒUR (EPOUSE DU FRERE CADET),Lao3 tai1 sim1 kiu1,老弟薪臼
,,
,,
COUSINS,Shuk5 bak5…,叔伯
COUSINS,BIAO3…,表…
FAMILLE, ,家庭
FILLE,MOI4 ZI1,妹子
FILS,LAI4 ZI1,(子尽)子
FRATRIE,HIUNG1 TI4 JI3 MOI4,兄弟姊妹
FRERE AINE,GO1 GO1,哥哥
FRERE CADET,TI4 TI4,第第
,,
,,
,,
,,
,,
NEVEU,QIT6 ZI3,侄子
NIECE,QIT6GNI3,侄女
ONCLE - AGE QUE LA MERE,A1 KIU1,阿舅
ONCLE - AGE QUE LE PÈRE,SHUK5 SHUK5,叔叔
ONCLE + AGE QUE LA MERE,TAI4 KIU1,太舅
ONCLE +AGE QUE LE PÈRE,A BAK5,阿伯
ONCLE MARI DE LA TANTE - AGEE,YI2 CHONG4,姨丈
ONCLE MARI DE LA TANTE -AGEE,GU1 YA2,姑爷
ONCLE MARI DE LA TANTE + AGEE,TAI4 GU1 YA2,太姑爷
ONCLE MARI DE LA TANTE + AGEE,TAI4 YI2 CHONG4,太姨丈
PARENTS,FU4 MU1,父母
,,
PETIT-FILS de la fille,NGOI4 SANG1,外生
PETIT-FILS du fils,SUN1 ZAI1,孙崽
PETITE-FILLE de la fille,NGOI4 SUN1 NGI3,外孙女
"PETITE-FILLE du fils2  n2"" ",SUN1NGI3,孙女
SŒUR AINEE,JIA3JIA3,姐姐
SŒUR CADETTE,MOI4 MOI4,妹妹
TANTE - AGEE QUE LA MERE,A1 YI2,阿姨
TANTE - AGEE QUE LE PÈRE,GU1 GU1,姑姑
TANTE + AGEE QUE LA MERE,TAI4 YI2,太姨
TANTE + AGEE QUE LE PÈRE,TAI4 GU1,太姑
TANTE EPOUSE DE L'ONCLE - AGE,SHUK5 ME1,叔姆
TANTE EPOUSE DE L'ONCLE - AGE,KIU1 NIANG2,舅娘
TANTE EPOUSE DE L'ONCLE + AGE,A1 NIANG2,阿娘
TANTE EPOUSE DE L'ONCLE + AGE,TAI4 KIU1 NIANG2,太舅娘
