FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Ail,son4 mi3,蒜米
Ananas,bo1 lo2,菠萝
Aubergine,kio2 zai3,茄子
,ai3ga1,矮瓜
Banane,hiong1 jiao1,香蕉
Carotte,fung2 lo2 pet6,红萝卜
Champignons,dung1 gu1,？ 菇
Chou,pak6 coi4,白菜
Citron,lin2 mung3,柠檬
Concombre,wong2 ga1,黄瓜
Fruits,shui3 go3,水果
,sang1go3,生果
Gingembre,giang1,姜
Haricot vert,teu4zai3,豆仔
Légume,coi4,(蔬) 菜
Mandarine,git5 zai3,橘子
Mangue,long2go3,芒果
,,
Mûr,wong2,黄
Vert,qiang1,青
Oignon,yong2 cung1,洋葱
Orange,chang2,橙
Pamplemousse,luk5,柚
Papaye,muk6ga1,木瓜
,len4ga1,奶瓜
Patate douce,fan1 shu3,番薯
Poivron,den1 lung2 jiao1,灯笼椒
Pomme,pin2 go3,苹果
Pomme de terre,shu2 zai3,薯子
Pourri,men2,糜
Salade,mak5 coi4,蕒菜
Tomate,gim1qian2git5,金钱橘
Poire,sa1li2,沙梨
Piment,lat6 jiao1,辣椒
Oignon vert ,cung1,葱
Ciboulette ,giu3 coi4,韭菜
Peau d'orange,go3 pi2,果皮
Durian ,liu2 len2,榴 莲
Brocoli chinois,gai4 lan2,芥蓝
Brocoli ,xi1 lan2 fa1,西兰花
Chou chinois,coi4 xim1,菜心
Goyave,pak5zai3,朳仔
Pota?,,
Coco,ya1zai3,椰仔
Lait de coco,ya1zai3jip5,椰仔汁
Eau de coco,ya1zai3shui3,椰仔水
Manioc,fan1gui3shu1,番鬼薯
Taro,wu4teu1,芋頭
Maïs,bao1xiuk5,包粟芽
soja (germe),luk6teu4nga2,绿豆
soja (haricot),wong2teu4,黄豆
petit pois,qiang1teu4,青豆
