FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Bibliothèque,tu2shu1gon3,图书馆
Chaise,den4,凳
Chambre,fong2,房
Climatiseur,lang1hi4gi1,冷气机
Coussin,zim3teu2,枕头
Couverture,pi1,被
Cuisine,chu2fong2,厨房
Cuisinière (ménager),lu2,炉
Doucher (se),cung1liang2,冲凉
Étendoir,sai4sam1ga4,晒衫加 
Évier,se3won3pun2,洗碗盆
Fauteuil,sa fa?,沙发
Fenêtre,chung1mun2,窗门
Four,guk6lu2,焗炉
Garage,cha1fong2,车房
Jardin,fa1yen2,花园
Lampe,den1,灯
Lit,min2cong2 ,眠床
Machine à laver,se3sam1gi1,洗衣机
Maison,wuk5ka1,屋家
Meuble,ga1fo3,家伙
Miroir,giang4,镜
Mur,xiong2,墙
Ordinateur,ten4lao3,电脑
Piscine,shui3tong2,水塘
Plafond,ten1fa1,天花
Porte,mun2,门
Poubelle,lap5sap5tung3,垃圾桶
Radio,su1yim1gi1,收音机
Réfrigérateur,set5kui4 ,雪柜
Rideau,mun2liam2,门帘
Robinet,shui3hiu2teu2,水喉头
Salle de bains,cung1liang2fong2,冲凉房
Salon,tiang1,厅
Sol,ti4,地
Table,zok5teu2,桌头
Télévision,ten4shi4,电视
Terrasse,ka2liu2,卡楼
Tiroir,to1xiong1,拖箱
Ventilateur,fung1sen4,风扇
Vitre,bo1li2,玻璃
Escalier,liu2toi1,楼梯
Lumière électrique ,ten3fo3,电火
