Unnamed: 0,FRANCAIS,PIN YIN HAKKA
organisateurs textuels (au sujet de), à ce titre,
organisateurs textuels (au sujet de),à cet égard,
organisateurs textuels (d’une part (…) d’autre part),à première vue (…),
organisateurs textuels (au sujet de),à propos de,
organisateurs textuels (en réalité),à vrai dire,
Marqueur de relation (conséquence),ainsi,
Marqueur de relation (conclusion/synthèse),ainsi,
organisateurs textuels (par conséquent),ainsi,
organisateurs textuels (par conséquent),ainsi donc,
Marqueur de relation (conséquence),alors,
Marqueur de relation (opposition/restriction),au contraire,
organisateurs textuels (en résumé),au fond,
Marqueur de relation (addition),aussi,
Marqueur de relation (conséquence),aussi,
organisateurs textuels (par conséquent),aussi,
"Marqueur de relation (liaison, transition)",bref,
organisateurs textuels (en résumé),bref,
Marqueur de relation (conséquence),c’est pourquoi,
organisateurs textuels (par conséquent),c’est pourquoi,
organisateurs textuels (car),c’est qu’en effet,
Marqueur de relation (explication),c’est-à-dire,
Marqueur de relation (explication),car,
organisateurs textuels (car),car,
Marqueur de relation (opposition/restriction),cependant,
organisateurs textuels (pourtant),cependant,
organisateurs textuels (en résumé),comme nous l’avons déjà mentionné,
Marqueur de relation (introduction),d’abord,
Marqueur de relation (énumération),d’abord,
organisateurs textuels (d’abord (…) puis),d’abord (…) puis,
"Marqueur de relation (liaison, transition)",d’ailleurs,
organisateurs textuels (d’ailleurs),d’ailleurs,
Marqueur de relation (conséquence),d’où,
organisateurs textuels (d’ailleurs),d’un autre côté,
Marqueur de relation (alternative),d’une part (…) d’autre part,
organisateurs textuels (d’une part (…) d’autre part),d’une part (…) d’autre part,
Marqueur de relation (conséquence),dans ces conditions,
organisateurs textuels (en résumé),dans l’ensemble,
Marqueur de relation (conséquence),de ce fait,
organisateurs textuels (car),de fait,
Marqueur de relation (addition),de même,
Marqueur de relation (alternative),de même,
Marqueur de relation (addition),de plus,
organisateurs textuels (de plus),de plus,
Marqueur de relation (conséquence),de sorte que,
organisateurs textuels (de plus),de surcroît,
organisateurs textuels (de toute façon),de toute façon,
organisateurs textuels (de toute façon),de toute manière,
"Marqueur de relation (liaison, transition)",donc,
Marqueur de relation (conséquence),donc,
organisateurs textuels (par conséquent),donc,
organisateurs textuels (d’ailleurs),du reste,
Marqueur de relation (explication),effectivement,
organisateurs textuels (en réalité),effectivement,
Marqueur de relation (addition),également,
organisateurs textuels (au sujet de),en ce qui a trait,
organisateurs textuels (à notre avis),en ce qui nous concerne,
organisateurs textuels (au sujet de),en ce qui touche,
organisateurs textuels (enfin),en conclusion,
Marqueur de relation (conséquence),en conséquence,
organisateurs textuels (par conséquent),en conséquence,
organisateurs textuels (au sujet de),en d’autres termes,
organisateurs textuels (en résumé),en d’autres termes,
organisateurs textuels (en résumé),en définitive,
organisateurs textuels (en résumé),en définitive,
organisateurs textuels (en résumé),en dernier lieu,
organisateurs textuels (enfin),en dernier lieu,
Marqueur de relation (explication),en effet,
organisateurs textuels (car),en effet,
Marqueur de relation (conclusion/synthèse),en fin de compte,
organisateurs textuels (enfin),en fin de compte,
Marqueur de relation (addition),en outre,
"Marqueur de relation (liaison, transition)",en outre,
organisateurs textuels (de plus),en outre,
organisateurs textuels (d’une part (…) d’autre part),en outre,
Marqueur de relation (introduction),en premier lieu,
organisateurs textuels (d’abord (…) puis),en premier lieu,
organisateurs textuels (en réalité),en réalité,
organisateurs textuels (en résumé),en résumé,
organisateurs textuels (en résumé),en résumé,
"Marqueur de relation (liaison, transition)",en somme,
organisateurs textuels (en résumé),en somme,
Marqueur de relation (addition),encore,
Marqueur de relation (énumération),enfin,
organisateurs textuels (enfin),enfin,
Marqueur de relation (énumération),ensuite,
"Marqueur de relation (liaison, transition)",ensuite,
organisateurs textuels (d’abord (…) puis),ensuite,
Marqueur de relation (illustration),entre autres,
organisateurs textuels (en résumé),essentiellement,
Marqueur de relation (addition),et,
Marqueur de relation (conclusion/synthèse),étant donné,
Marqueur de relation (explication),étant donné que,
organisateurs textuels (enfin),finalement,
organisateurs textuels (d’une part (…) d’autre part),mais à bien considérer les choses,
