FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
SE PRESENTER,,
"Bonjour, je m'appelle Lucie ","Zhao shin, ngai ang go Lucie",
J'ai 15 ans ,Ngai shep m soi,
Je suis française,Ngai he fat ge gnin (fa lan si gnin) ,
Je veux parler le hakka ,Ngai xiang cong hakka,
Je vais à l'école à Papeete,Ngai choi bao be ti hok gao to shu,
J'habite à Tahiti,Ngai choi tai gai ti kiu,
Mon papa est français,Nga baba he falasin gnin  ,
Ma maman est tahitienne,Nga mama he tai gai ti gnin  ,
J'apprends le hakka ,Ngai hok hakka ,
Comment tu vas ? ,Ngi hao mon ? ,
"Je vais bien, et toi","Hao, gni jia ? ",
Très bien ,Hao ,
Qui est ton père ? ,Ngia baba he lan gnin ? ,
Mon papa s'appelle Julien de la famille CHIN,"Gnia baba ang go Julien, xiang CHIN",
Qui est ton grand-père,Gnia gung gung he lan gnin ? ,
Mon grand-père est Joseph CHAN de lafa mille CHIN,Gnia gung gungang go Joseph CHAN xiang CHIN,
,,
SE SITUER DANS L'ESPACE,,
Où vas-tu ? ,Gni hi lai ? ,
Je vais à l'école ,Ngai hi tok shu,
Je vais voir des copains,Ngai hi kon pengyo,
Avec qui vas-tu à l'école ? ,La ngin sung ngi hi to shu ? ,
Je vais à l'école avec ma maman ,Nga mama sung ngai hi tok shu,
Je vais à l'école en voiture,Ngai tcho ten tcha hi tok shu,
,,
,,
"Humain, Chinois, je suis Chinois. Moi, toi, lui, nous sommes tous Chinois ","Gnin, zung get ngin. Ngo, Ngo shi zung get gnin. Go, li, ta, go mun tai ga, du shi zung  get ngin ",
"C'est chouette d'aller à l'école. C'est chouette d'aller à l'école. Allons tous à l'école. Allons tous à l'école. Venez, venez, venez étudier. Venez tous étudier avec des livres neufs. Dans le livre neuf, il y a le drapeau du pays. Drapeau, drapeau, je t'aime et je te respecte. ","Shang hok hao, chong hok hao. Tai ga hi shang hok. Loi, loi, loi. Loi tok shu. Tai ga loi duk xin shu, xin shu shang yu get ki. Get ki, get ki, ngo oi li, ngo gin li. ",
