FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
Alcool,jiu3 ,酒 
Amer,fu3,苦
Annuler une réservation,qi3xiao1 yi4tin4,取消 预定
Apéro,hoi1 wui4 jiu3,开胃酒
Appétissant,hao3shit6,好食
Assiette ,pan2,盘
Avoir faim,ngo4,饿
Avoir le ventre vide,du3 pat6 ngo1,肚子 饿
Avoir soif,hot5,渴
Baguettes,kai4 zi4,筷子
Bio,?,
Boire,yim3,饮
Bol,won3,碗
Bon appétit,man1 man1 shit6,慢慢食
Bouteille ,(yong2) zun1,洋樽
Buffet,?,
Café,ga1 fui1,咖啡
Chaise,den4,凳
Couteau,dao1 ,刀
Cuillère,qi2 gang1 ,匙羹
Cuisson : bleu,?,
Cuisson : saignant,?,
Cuisson : Médium,ban1 sang1 shuk6,半生熟
Cuisson : Bien cuit,shuk6,熟
Cuisine américaine,mui3 get3 coi4,美国 菜 
Cuisine chinoise,zhung1get3 coi4,中国菜
Cuisine française,fap3get3 coi4,菜
Cuisine indienne,yin4tu4 coi4,印度
Cuisine japonaise,ngit4bun3 coi4,日本菜
Cuisine mexicaine,met6xi1 go1 coi4,墨西哥  菜
Vaisselle,won3kai4,碗筷
Débarrasser la table,giam3 won3 kai4,检碗筷
Déjeuner,shit6 zhao1,食朝
Sushi,shu4xi4?,寿司
Digestif,con1hiu4jiu4？,餐后酒
Dîner,shit6ya4,食夜
"""Doggy bag""",da3bao1,打包 
Eau,shui3,水
Effectuer une réservation,ting4wui4,定位
Être rassasié,(shit6) bao3, (食) 饱
Fade,tam4,淡
Faire la vaisselle,se3 won3 kai4,洗碗筷
Fourchette ,cha1 zai3,叉子
Goûter (le plat),shong2,尝
Menu,coi4 dan1,菜单 
Lécher,she4,舐
Louche,shok6,勺
Malbouffe,lap5 sap5 coi4,垃圾菜
Manger,shit6,食
Mettre la table,bai3 zog5,摆桌
Nourriture,fo3 shit6,伙食
Organiser un banquet,pan4shit6,办食
Pain,men4 bao1,面包
Piquant-épicé,lat6,辣
Ranger la vaisselle,su1won3 kai4,收碗筷
Riz,fan4,饭
Salé,ham2,咸 
Se resservir,zai4loi2 yit5fun4,再来一份
Serviette,con1gin1,餐巾
Sucré,tiam2,甜
Tasse,cha2bui1,茶杯
Têter,shit6len4,食奶
Thé,cha2,茶
Théière,cha2 fu2,茶壶
En-cas,xiao3 shit6,小食
Repas à emporter,qiu3con1,挈餐
Repas copieux,tai4 con1,大菜
Repas équilibré,ken4 kong1 con1,健康餐 
Repas léger,xiao3con1,小餐
Service en porcelaine,ci2hi4 won3kai4,瓷器 碗筷
Souper,xiao1ya4,宵夜 
Hôte,zu3ngin2,主人
Invité,hak5ngin2,客人
Boisson chaude,lon1yim3,暖饮
Boisson froide,lang3yim3,冷饮
Cuillère  en bois,muk5shok6,木勺
Entrée,qian2coi4,前菜
Pizza,bit5sa4,笔萨
Spatule,wok5chan3,锅铲
Végétarien,shit6zai1,食斋
Verre,bui1zai3,杯子
Vin,jiu3,酒
Cochonneries,lang2shit6,零食
Table,zok5,"
桌"
Soupe,tong1,汤
,shun4,?
Restaurant,con1gon3,餐館
Shaobao,shao1bao2,烧包
Bouchons,shu1mai3,烧卖
Tofu farci,niong4teu4fu3,釀豆腐
Margose farci,niong4fu3ga1,釀苦瓜
Aubergine farcie,niong4ai3ga1,釀矮瓜
Farce de poisson,ng2ham4,鱼馅
Prune salée,ham2moi2,咸梅
Riz gluant farci,zung3,粽
Riz gluant,lo4mi3,糯米
Porc barbecue,cha1sao1,叉烧
Porc rôti,gim1zu1ngiuk5,金猪肉
