FRANCAIS,PIN YIN HAKKA,SINOGRAMME CORRESPONDANT
,,
Au revoir,zai4 gen4,再见
Bonjour,zao3shin2,早晨
Bonsoir,man3 on1,晚安
Combien ça coûte ?,git5 do1 qian2,几多钱
Demain ,min2 zhao3 ngit5,明朝日
Eau,shui3,水
Glace-ice cream,set5shui3,雪水
Hier,cham4mu2ngit5,昨晡日
Livre,shu1,书
Merci,do1 qia4,多谢
Merci beaucoup ,tai4 ba3 do1 qia4,大把多谢
Non,ng1 he4,唔係
oui,he4,係
Pardon ,dui4 ng1 chu4,对唔住
S'il vous (te) plaît,ng1 goi1 ngi1,唔该你
"S'il vous plaît , je voudrais une glace","ng1goi1ngi1, ngai1oi4set5shui3","唔该你,我要雪水"
A bientôt,hao3zang1,好正
,man4man4hang2,慢慢行
,man4man4zon3,慢慢转
Enchanté…,hao3 gao1hin3 ngi4dao4 ngi3,很 高兴 遇到 你
Bonjour à tous,tai4che2ga1 hao3,大齐家 好
