FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
Aimer,oi4,爱
,zung4hi4,中意
Aller,hi4,去
Attendre,ten3,等
Attraper,zuk5,捉
Bâiller,mak6zoi3,擗嘴
Boire,yim3,饮
Compter,son4,算
Descendre,ha 1,下
Dormir,choi4,睡觉
Écouter de la musique,tang2chong4go1 ?,听唱歌
Écrire,xia3,写
Enlever,cha3zeu3?,扯走
Essuyer,zut5,拭
Éternuer,da3a1qi4,打啊嚏
Faire,zuo3,做
Gifler,pan4da4ma2,拌  ？？
Grimper,ket6,?
Jouer,gao3,搅
Lancer,wang3,横
Laver,se3,洗
Lire,tuk6,读
Manger,sit6,食
Monter,song3,上
Pleurer,giao4,噭
Plier,zap5,折叠
Porter (vêtement),zok5,着
Pousser,sung 3,携 
Prendre,cha3,扯
Réfléchir,xiong3,想
Regarder,kon4,看
Rêver,bot5mung4,发梦
Rire,xiao4,笑
S'accroupir,khap3?,
S'agenouiller,kui3,跪
S'asseoir,cho1,坐
Sauter,tiao4,跳
Se coucher,tong3,躺
Se gratter,ja1,抓
Se lever,ki1hi3loi2,徛起来
Se réveiller,shoi4xiang3,睡醒
Se serrer,jiam1,签
Sécher,gung1zao1,工燥
Sourire,xiao3,笑
Tendre (la main),bin1shu1,?
Tirer,dui3,推
Tourner,zon3hiong4,转向
Utiliser,yung4,用
,su3,使
Venir,loi2,来
