FRANCAIS,PIN YIN HAKKA,SINOGRAMME correspondant 
Aller tout droit,qit6qit6hi4,直直去
Appeler un taxi,giu3?  chut5zu1cha1,叫出租车
Des embouteillages,set6cha1,塞车
Faire marche arrière,tui4mui3,退尾
Tourner à droite,zon3yu4sak5,转右页
Tourner à gauche,zon3zo3sak5,转左页
Un avion,fui1gi1,飞机
Un billet d’avion,fui1gi1biao4,机票
Un billet de train,fo3cha1biao4,火车票
Un bus,ba3 si2？,巴士
Un camion,ka2cha1,卡车
Un deux roues,bu1bu1cha1,phonétique
Un dos d’âne,giam2 sug5 tai3？,减速带
Un espace d’attente,dang2 heu6 ki1?,
Un feu rouge,fung2fo3,红火
Un feu vert,qiang1fo3,青火
Un passeport,fu4zao4,护照
Un ralentisseur,giam2 sug5 tai3?,减速带
Un retard de vol,fui1gi1chi2,飞机迟
Un transit,zung1 zon2?,中转
Une voiture,cha1,汽车
